Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
NE,0,2.9,3.812,2.3,5.2,0.0,0.0,11,0.182,1.0,0.021,0.146
NYJ,3,5.7,9.889,7.6,4.03,0.75,1.0,27,0.667,0.0,0.0,0.029
NYG,3,4.9,9.5,6.5,3.5,0.75,0.75,21,0.286,1.0,0.029,0.029
CLE,2,3.4,7.048,4.0,3.833,1.0,1.0,16,0.286,0.333,0.032,0.127
CHI,2,4.7,10.061,6.4,2.25,0.667,0.5,26,0.429,0.8,0.036,0.048
IND,3,5.7,15.6,7.8,4.545,0.667,0.667,15,0.25,0.0,0.037,0.019
HOU,1,4.7,9.214,5.9,2.714,0.5,0.0,17,0.286,0.5,0.032,0.079
MIN,4,4.6,9.176,5.6,4.214,0.8,1.0,19,0.462,1.0,0.0,0.067
PHI,2,6.9,9.931,7.6,6.88,0.333,1.0,20,0.429,0.333,0.03,0.06
NO,1,4.0,9.286,5.2,3.069,0.333,0.0,12,0.462,0.0,0.018,0.018
LAC,1,3.7,7.5,5.3,3.05,0.0,0.0,10,0.273,0.0,0.0,0.111
PIT,2,5.3,9.28,7.3,3.677,0.25,0.0,20,0.5,0.0,0.015,0.031
DEN,2,5.5,8.64,6.0,4.857,0.5,1.0,18,0.308,0.667,0.016,0.0
TB,1,4.0,5.28,4.0,5.688,0.5,0.5,17,0.273,0.0,0.036,0.125
GB,2,6.4,14.615,10.0,5.081,0.333,0.5,16,0.357,0.0,0.0,0.051
TEN,2,4.5,7.846,6.0,3.0,1.0,1.0,18,0.333,0.0,0.057,0.151
CAR,4,6.2,11.769,8.3,4.226,0.6,1.0,24,0.417,0.0,0.0,0.029
LV,3,5.6,10.222,6.9,3.438,1.0,1.0,20,0.273,0.333,0.017,0.051
MIA,0,3.7,7.0,4.4,3.611,0.0,0.0,13,0.083,0.0,0.0,0.107
SEA,3,6.2,10.385,7.9,4.348,1.0,1.0,21,0.273,0.0,0.033,0.05
DET,3,5.5,10.333,8.1,4.349,1.0,1.0,23,0.5,0.0,0.015,0.029
ARZ,1,5.2,9.524,5.9,4.278,1.0,1.0,17,0.111,0.0,0.019,0.019
BAL,4,7.6,15.167,12.1,6.089,1.0,1.0,24,0.444,0.0,0.0,0.0
DAL,3,5.9,12.893,7.1,3.188,0.75,0.5,26,0.538,0.0,0.014,0.043
SF,3,6.5,13.091,9.6,4.029,0.667,1.0,25,0.545,1.0,0.015,0.015
LA,3,5.4,12.375,7.6,3.769,0.6,0.667,19,0.417,1.0,0.0,0.055
KC,2,4.8,8.346,5.6,3.879,0.5,0.0,22,0.429,1.0,0.014,0.0
ATL,2,5.6,11.45,7.9,3.28,0.5,1.0,19,0.222,0.333,0.018,0.036
JAC,1,3.5,5.654,3.2,5.412,0.25,0.5,19,0.154,0.5,0.029,0.074
BUF,6,6.5,11.083,8.6,4.207,0.8,1.0,25,0.545,1.0,0.0,0.0
WAS,5,6.2,11.81,10.8,3.375,1.0,1.0,22,0.556,1.0,0.0,0.035
CIN,4,7.3,10.759,8.2,6.2,0.5,0.667,30,0.6,1.0,0.0,0.033
DAL,2,5.7,9.682,7.9,3.478,1.0,1.0,14,0.3,1.0,0.0,0.02
NYG,0,4.7,9.552,6.9,1.083,0.0,0.0,16,0.312,0.75,0.015,0.015
