Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
NYG,4,6.6,12.0,8.4,4.704,0.8,1.0,26,0.583,1.0,0.015,0.045
ARZ,3,6.3,10.857,7.4,5.207,0.667,1.0,24,0.4,0.0,0.0,0.0
SF,3,6.8,12.118,8.2,5.679,0.6,1.0,21,0.222,0.0,0.0,0.019
LA,2,4.9,8.735,5.4,4.045,0.667,1.0,28,0.5,0.5,0.026,0.013
NYJ,1,4.7,12.583,5.6,4.0,0.0,0.0,12,0.1,1.0,0.087,0.065
DAL,2,4.6,8.0,6.5,3.045,0.333,0.4,26,0.5,0.0,0.0,0.012
WAS,4,5.9,9.852,6.8,5.304,1.0,1.0,26,0.3,1.0,0.0,0.061
DEN,4,6.4,15.389,8.7,5.304,0.5,0.0,21,0.333,1.0,0.032,0.113
MIA,3,6.4,11.619,8.1,4.833,0.667,0.5,22,0.4,0.0,0.016,0.016
NE,2,4.1,6.452,4.8,3.52,1.0,1.0,23,0.467,0.5,0.028,0.056
NO,2,4.6,9.409,5.6,4.061,0.5,0.667,23,0.438,0.0,0.014,0.054
CAR,1,4.3,6.318,4.2,5.263,0.333,1.0,14,0.286,1.0,0.018,0.071
CLE,2,5.0,9.545,5.3,5.657,0.667,1.0,20,0.312,0.0,0.049,0.074
PIT,1,4.8,13.333,6.7,2.619,0.0,0.0,9,0.286,0.0,0.038,0.038
NYG,1,3.3,5.5,3.7,2.636,1.0,1.0,10,0.25,0.0,0.022,0.043
SF,3,5.7,12.0,8.1,3.615,0.4,0.5,26,0.562,0.0,0.0,0.026
IND,1,3.9,6.963,4.3,3.971,0.5,0.0,19,0.364,0.0,0.0,0.06
BAL,2,5.1,8.091,5.7,5.027,1.0,0.0,20,0.375,0.0,0.028,0.056
TEN,0,2.1,5.231,2.7,1.733,0.0,0.0,6,0.167,1.0,0.0,0.111
CLE,3,5.1,9.741,8.0,2.516,1.0,1.0,23,0.462,1.0,0.015,0.045
ATL,0,2.8,6.619,3.7,2.2,0.0,0.0,16,0.286,0.0,0.015,0.108
DET,2,5.6,11.045,7.4,3.71,0.25,0.5,18,0.286,0.0,0.016,0.0
NO,1,4.2,7.609,5.1,3.5,0.5,0.0,15,0.286,1.0,0.0,0.067
GB,2,4.8,11.136,5.6,3.654,0.667,1.0,21,0.444,0.333,0.014,0.014
HOU,3,6.5,14.0,9.3,3.308,0.4,0.5,15,0.6,0.0,0.0,0.0
JAC,2,5.9,9.931,6.9,4.296,0.5,1.0,22,0.385,0.0,0.029,0.0
DEN,1,6.2,12.783,7.7,3.45,0.25,0.0,16,0.25,0.0,0.051,0.017
MIA,10,10.2,15.04,13.4,8.14,1.0,1.0,30,0.556,0.333,0.0,0.0
LAC,4,7.4,10.854,9.3,2.0,1.0,1.0,24,0.455,0.5,0.016,0.016
MIN,3,6.1,10.781,6.9,5.417,0.25,0.25,29,0.286,0.667,0.026,0.051
NE,1,5.2,13.4,6.9,3.925,0.0,0.0,17,0.421,0.0,0.0,0.0
NYJ,1,2.8,7.389,3.7,1.727,1.0,1.0,12,0.143,0.5,0.0,0.049
BUF,3,5.9,10.9,6.8,5.091,0.5,1.0,20,0.6,0.0,0.015,0.0
WAS,0,4.5,6.579,4.3,8.077,0.0,0.0,15,0.111,0.0,0.098,0.176
CAR,3,5.0,9.824,5.8,3.143,1.0,1.0,23,0.526,0.0,0.0,0.04
SEA,3,6.0,12.13,7.8,4.424,0.5,1.0,27,0.231,1.0,0.014,0.028
DAL,1,5.5,9.24,5.8,5.606,0.2,0.0,26,0.562,0.0,0.013,0.027
ARZ,3,7.5,10.471,8.5,7.4,1.0,1.0,20,0.5,0.0,0.0,0.038
CHI,1,4.0,7.909,4.0,4.462,0.5,0.0,11,0.333,0.5,0.039,0.059
KC,5,6.1,11.222,8.0,4.135,1.0,1.0,31,0.714,0.0,0.027,0.0
PIT,2,5.6,14.25,8.1,3.387,1.0,0.0,17,0.4,0.0,0.0,0.017
LV,2,5.4,10.464,6.7,3.632,0.5,1.0,19,0.308,0.5,0.045,0.06
PHI,2,6.1,11.783,7.3,5.025,0.2,0.5,27,0.625,0.667,0.026,0.013
TB,1,4.0,8.867,5.3,2.412,0.5,1.0,12,0.5,0.0,0.045,0.045
LA,1,5.6,12.278,6.7,5.462,0.25,0.5,15,0.091,1.0,0.038,0.115
CIN,1,4.2,9.308,4.9,2.913,1.0,0.0,19,0.294,1.0,0.014,0.027
DET,4,5.5,10.0,6.8,4.907,0.5,0.75,25,0.412,1.0,0.014,0.027
GB,2,4.3,8.826,5.6,2.25,0.5,1.0,15,0.273,1.0,0.038,0.094
ATL,1,5.0,8.421,5.2,5.773,0.5,0.0,17,0.5,0.0,0.053,0.07
JAC,1,4.7,8.478,6.5,3.281,0.0,0.0,16,0.357,0.5,0.0,0.031
BAL,4,5.4,11.0,8.7,3.97,1.0,1.0,16,0.333,1.0,0.018,0.055
CLE,0,2.6,3.842,2.0,3.72,0.0,0.0,13,0.25,1.0,0.046,0.062
DEN,3,6.5,10.19,7.6,5.105,1.0,1.0,17,0.545,0.0,0.0,0.021
CHI,4,6.7,10.714,8.6,5.516,0.667,1.0,26,0.5,0.333,0.029,0.057
MIN,2,6.0,10.833,6.8,5.87,0.5,0.0,14,0.125,0.5,0.045,0.045
CAR,0,3.4,5.96,4.7,2.677,0.0,0.0,20,0.357,0.667,0.015,0.074
MIA,3,6.8,10.04,7.2,7.474,0.75,0.667,20,0.3,0.0,0.034,0.069
BUF,6,7.4,14.762,12.4,3.586,0.833,1.0,24,0.5,0.0,0.0,0.036
PIT,0,4.0,6.167,4.0,4.56,0.0,0.0,12,0.429,0.0,0.018,0.054
HOU,3,6.5,18.353,10.1,3.658,0.667,1.0,24,0.5,0.0,0.0,0.0
LA,3,6.0,11.222,7.6,4.556,0.667,1.0,27,0.4,1.0,0.013,0.026
IND,3,5.7,17.818,7.8,4.29,1.0,1.0,19,0.3,0.5,0.017,0.034
CIN,0,4.1,6.95,4.6,4.0,0.0,0.0,14,0.222,0.0,0.02,0.059
TEN,3,6.5,11.947,8.7,5.242,0.5,1.0,23,0.615,1.0,0.016,0.048
WAS,3,4.9,8.897,6.3,3.821,0.8,0.75,26,0.471,1.0,0.0,0.068
PHI,3,6.2,12.44,8.4,3.852,0.5,1.0,23,0.333,1.0,0.0,0.045
TB,3,5.3,9.56,7.2,3.455,0.75,1.0,21,0.533,0.0,0.015,0.015
NO,0,3.2,5.292,3.3,3.684,0.0,0.0,16,0.357,0.5,0.049,0.049
LV,2,3.8,7.833,4.8,3.304,0.4,0.5,22,0.091,1.0,0.043,0.101
LAC,3,4.8,11.538,6.3,4.189,0.75,0.5,16,0.357,0.5,0.016,0.032
ARZ,2,5.4,9.179,6.3,4.2,0.667,1.0,23,0.533,0.667,0.0,0.015
SF,5,7.5,13.55,12.9,4.0,1.0,1.0,30,0.6,1.0,0.0,0.019
NE,0,4.6,12.5,6.7,2.304,0.0,0.0,10,0.308,0.0,0.055,0.036
DAL,2,5.5,8.433,7.0,4.133,0.25,0.5,22,0.533,0.0,0.0,0.043
KC,2,6.1,10.944,6.6,5.829,0.0,0.0,24,0.583,0.0,0.03,0.015
NYJ,2,5.9,8.143,5.8,6.75,0.667,1.0,18,0.417,0.0,0.018,0.035
SEA,2,5.5,10.667,6.2,5.261,0.5,0.667,13,0.25,0.0,0.0,0.039
NYG,0,3.4,5.037,4.0,3.862,0.0,0.0,17,0.375,0.5,0.041,0.149
CHI,4,7.0,18.2,9.4,5.562,0.5,1.0,18,0.467,1.0,0.0,0.047
WAS,2,5.9,9.703,7.0,2.9,0.667,1.0,23,0.5,0.0,0.03,0.076
JAC,3,5.8,11.12,7.5,4.9,0.5,1.0,29,0.556,0.0,0.024,0.061
BUF,3,7.2,13.296,9.0,2.071,1.0,1.0,18,0.417,0.0,0.037,0.0
HOU,1,5.4,12.45,7.1,2.783,0.333,0.0,17,0.308,0.0,0.0,0.0
ATL,2,6.0,12.103,9.2,2.667,0.5,1.0,26,0.5,0.0,0.027,0.0
CAR,3,5.3,9.72,5.9,4.304,0.75,1.0,26,0.5,1.0,0.046,0.015
DET,6,6.3,10.9,7.8,5.3,1.0,1.0,23,0.4,0.5,0.0,0.033
TEN,1,6.0,11.261,7.4,4.045,0.25,0.0,19,0.417,0.5,0.017,0.017
IND,2,7.0,11.8,9.1,5.676,0.2,1.0,21,0.615,0.0,0.0,0.016
NYG,0,3.9,7.957,5.7,2.931,0.0,0.0,15,0.294,0.5,0.0,0.103
MIA,4,9.7,13.727,10.1,9.652,0.667,0.667,22,0.375,0.0,0.056,0.019
NO,3,4.3,9.333,6.5,3.238,0.75,1.0,17,0.333,0.0,0.0,0.029
NE,0,3.1,7.4,3.6,2.5,0.0,0.0,8,0.071,0.0,0.059,0.039
BAL,1,5.0,9.545,5.5,5.0,0.333,0.0,19,0.357,0.0,0.045,0.06
PIT,1,4.4,11.222,6.3,2.9,0.0,0.0,17,0.4,0.0,0.015,0.046
CIN,3,4.8,7.972,6.2,3.1,0.4,0.5,27,0.357,0.0,0.013,0.038
ARZ,3,5.2,10.133,4.8,6.455,0.667,1.0,15,0.364,0.0,0.053,0.053
PHI,2,5.8,11.8,7.8,4.077,0.333,0.667,28,0.722,0.0,0.013,0.013
LA,2,4.5,9.286,5.3,3.857,1.0,1.0,17,0.429,0.667,0.0,0.073
NYJ,1,6.6,9.105,6.7,7.312,0.0,0.0,18,0.25,0.0,0.032,0.065
DEN,2,5.4,8.45,5.5,6.318,0.5,0.333,18,0.4,0.0,0.053,0.07
KC,3,5.2,8.581,6.5,3.19,1.0,1.0,21,0.6,0.0,0.0,0.031
MIN,2,4.8,8.931,5.5,3.889,0.5,1.0,24,0.429,0.8,0.015,0.044
DAL,1,4.0,8.75,5.4,3.0,0.0,0.0,8,0.364,0.0,0.082,0.082
SF,6,6.3,13.944,10.0,4.146,0.8,1.0,25,0.545,0.0,0.015,0.015
GB,1,5.0,10.938,5.8,4.4,0.333,0.5,18,0.333,1.0,0.053,0.035
LV,2,4.4,8.318,5.9,3.31,0.667,0.5,19,0.385,1.0,0.016,0.062
DEN,1,4.0,6.308,3.7,5.0,1.0,0.0,14,0.4,0.0,0.061,0.082
KC,1,5.6,9.767,7.1,3.556,0.2,0.5,22,0.308,0.0,0.014,0.029
BAL,1,5.1,10.524,7.4,3.564,0.167,0.0,20,0.5,0.0,0.014,0.014
TEN,1,5.1,8.667,5.0,6.789,0.25,0.0,17,0.111,0.0,0.043,0.13
WAS,3,3.9,8.643,5.3,3.273,0.667,1.0,13,0.2,1.0,0.0,0.1
ATL,2,5.1,10.571,6.3,3.655,0.667,0.5,25,0.333,0.333,0.038,0.038
MIN,1,4.0,8.286,5.6,2.091,1.0,0.0,12,0.154,0.5,0.018,0.036
CHI,1,4.2,7.062,4.7,4.5,0.5,0.5,18,0.429,0.0,0.046,0.077
SEA,1,5.5,11.0,7.2,3.48,0.2,0.25,24,0.417,0.0,0.029,0.057
CIN,2,4.0,7.0,4.8,3.067,1.0,1.0,15,0.273,0.0,0.019,0.057
SF,2,3.9,8.917,4.0,4.32,0.667,1.0,15,0.25,0.0,0.018,0.055
CLE,1,4.8,9.667,5.1,4.706,0.5,0.0,18,0.231,1.0,0.029,0.029
NO,1,5.5,10.333,6.7,3.56,0.0,0.0,24,0.4,0.0,0.026,0.026
HOU,2,5.0,13.615,6.6,3.871,0.5,0.667,19,0.364,0.0,0.017,0.033
IND,2,4.7,9.394,5.6,2.588,0.5,1.0,18,0.353,0.5,0.053,0.04
JAC,4,3.8,7.4,4.9,2.931,0.667,1.0,17,0.286,1.0,0.016,0.048
CAR,2,4.4,7.833,4.8,4.32,1.0,1.0,21,0.357,0.0,0.0,0.059
MIA,6,6.5,12.476,8.2,4.909,1.0,1.0,23,0.538,0.0,0.015,0.0
NE,2,4.6,7.333,5.3,4.368,1.0,1.0,17,0.5,0.0,0.018,0.071
LV,1,5.4,13.2,8.3,2.545,0.167,0.0,19,0.5,0.0,0.015,0.0
ARZ,0,4.7,10.238,5.2,4.333,0.0,0.0,20,0.375,0.5,0.027,0.027
LA,2,6.9,13.533,8.5,6.393,0.4,1.0,17,0.333,0.0,0.018,0.055
PHI,2,5.0,9.571,6.0,3.636,0.667,1.0,24,0.5,0.5,0.058,0.029
NYJ,1,4.1,8.158,4.7,4.238,0.25,1.0,17,0.182,0.0,0.0,0.085
DET,2,5.5,11.333,7.7,1.818,0.0,0.0,19,0.562,0.0,0.0,0.043
TB,0,4.6,10.789,5.5,2.875,0.0,0.0,13,0.167,0.5,0.019,0.019
NYG,0,4.3,7.708,5.1,3.882,0.0,0.0,20,0.526,0.5,0.0,0.041
BUF,2,5.0,8.895,5.6,4.414,1.0,1.0,22,0.5,0.0,0.034,0.0
DAL,2,5.6,11.714,8.2,3.692,0.5,1.0,20,0.385,0.5,0.016,0.082
LAC,2,4.5,9.955,5.9,2.304,0.5,0.667,18,0.357,0.5,0.016,0.016
JAC,3,5.9,10.333,7.2,4.346,1.0,1.0,18,0.182,0.5,0.036,0.0
NO,2,4.7,8.939,5.4,3.613,0.4,0.333,25,0.167,0.667,0.011,0.011
DET,1,4.7,7.667,4.8,6.0,0.0,0.0,18,0.312,0.333,0.014,0.069
BAL,5,9.1,17.0,12.8,5.407,0.833,1.0,23,0.5,1.0,0.018,0.0
LV,1,3.9,7.259,4.4,2.786,0.5,0.5,20,0.222,1.0,0.05,0.017
CHI,3,4.7,7.143,5.2,4.553,1.0,1.0,23,0.615,0.0,0.0,0.029
CLE,3,4.4,10.375,4.5,4.545,1.0,1.0,18,0.25,0.5,0.028,0.028
IND,5,6.8,19.2,12.5,4.2,0.75,1.0,20,0.467,0.0,0.06,0.06
BUF,3,5.1,9.556,6.3,3.375,0.5,1.0,24,0.417,0.667,0.03,0.015
NE,3,6.6,10.72,8.9,4.0,0.6,1.0,21,0.444,0.0,0.018,0.018
WAS,1,4.1,8.955,4.7,4.0,0.333,1.0,14,0.067,0.667,0.015,0.09
NYG,2,5.5,13.889,8.6,3.312,0.5,0.5,16,0.312,0.0,0.031,0.062
ATL,1,6.3,12.895,9.8,4.105,0.2,0.2,20,0.538,0.0,0.047,0.016
TB,1,5.1,9.481,6.1,3.65,0.0,0.0,21,0.5,0.0,0.031,0.046
PIT,3,5.4,12.588,8.6,2.966,1.0,1.0,17,0.333,1.0,0.0,0.036
LA,2,5.7,15.643,7.6,4.355,1.0,1.0,19,0.562,0.0,0.016,0.032
ARZ,1,4.0,6.1,3.6,5.08,0.0,1.0,15,0.333,0.0,0.0,0.063
SEA,2,5.5,11.278,8.5,3.594,0.333,0.0,18,0.538,0.0,0.052,0.034
GB,2,5.4,8.818,6.1,4.724,0.667,0.0,20,0.429,1.0,0.016,0.0
DEN,1,6.2,9.7,6.7,5.8,0.25,0.0,18,0.417,0.0,0.0,0.018
LAC,2,5.9,12.882,7.3,5.346,0.5,0.5,16,0.429,1.0,0.033,0.082
KC,4,7.5,12.969,9.9,3.238,0.75,1.0,25,0.545,0.0,0.031,0.016
MIA,1,5.1,8.652,6.2,3.75,0.0,0.0,12,0.364,0.0,0.021,0.083
PHI,4,5.2,11.13,8.3,2.912,0.667,0.5,26,0.333,1.0,0.029,0.044
SF,2,6.1,12.381,8.7,2.955,0.5,1.0,19,0.556,1.0,0.057,0.019
MIN,2,6.8,10.8,8.4,3.524,0.0,0.0,24,0.615,0.0,0.015,0.0
TB,2,4.9,8.96,5.3,4.588,1.0,1.0,17,0.267,1.0,0.0,0.048
BUF,3,6.3,10.065,7.8,4.423,0.5,0.5,25,0.538,0.0,0.015,0.029
HOU,2,4.1,7.438,5.0,3.667,1.0,1.0,16,0.417,1.0,0.018,0.036
CAR,1,3.7,8.182,5.8,1.833,0.25,0.333,20,0.357,0.5,0.0,0.098
LA,2,4.8,10.444,5.9,3.833,0.5,1.0,15,0.308,0.5,0.017,0.034
DAL,4,6.1,10.556,8.4,3.923,0.5,0.0,24,0.5,1.0,0.016,0.048
MIN,3,5.0,10.923,8.1,2.0,0.5,1.0,24,0.556,1.0,0.014,0.043
GB,1,4.4,8.167,4.8,4.353,0.25,1.0,16,0.357,0.25,0.016,0.065
NO,5,7.7,17.5,12.1,4.472,0.75,0.5,24,0.5,0.0,0.015,0.015
IND,3,5.5,9.0,5.0,6.833,0.667,1.0,19,0.438,1.0,0.015,0.03
NE,2,4.3,7.421,4.9,4.053,0.5,1.0,13,0.111,0.5,0.02,0.059
MIA,4,5.3,10.4,6.9,3.0,0.5,0.667,24,0.357,1.0,0.027,0.027
NYJ,1,4.0,11.353,5.4,2.636,0.0,0.0,12,0.133,0.0,0.032,0.065
NYG,1,2.8,-1.5,-0.6,3.904,0.333,1.0,12,0.105,0.0,0.0,0.057
JAC,1,5.8,11.292,8.5,3.533,0.0,0.0,20,0.462,0.0,0.046,0.046
PIT,1,4.1,7.64,4.4,3.889,0.0,0.0,17,0.25,0.0,0.031,0.047
ATL,2,5.2,10.1,5.9,5.385,0.667,1.0,17,0.267,0.5,0.015,0.091
TEN,4,5.6,11.895,7.8,4.139,1.0,0.0,17,0.333,1.0,0.015,0.03
PHI,5,6.0,10.862,8.3,2.682,0.6,0.333,21,0.615,1.0,0.032,0.032
WAS,4,6.8,9.949,7.5,5.25,1.0,1.0,26,0.583,0.0,0.014,0.014
CLE,2,5.1,14.375,7.2,3.875,0.5,1.0,23,0.4,0.0,0.04,0.04
SEA,3,6.6,10.783,6.7,6.706,0.6,1.0,17,0.333,1.0,0.036,0.018
BAL,4,4.5,7.667,5.1,4.483,1.0,1.0,21,0.364,0.0,0.0,0.067
ARZ,3,4.4,7.24,4.9,4.031,1.0,1.0,22,0.417,0.0,0.028,0.028
KC,0,4.8,8.833,5.6,3.875,0.0,0.0,18,0.3,0.333,0.088,0.053
DEN,3,3.7,7.25,4.6,3.825,0.6,0.667,19,0.429,0.0,0.015,0.092
CIN,4,6.5,9.5,8.3,4.963,0.8,0.667,29,0.375,0.0,0.016,0.048
SF,2,8.2,15.773,11.2,4.913,0.5,0.667,24,0.556,0.0,0.054,0.036
CHI,2,4.7,8.88,6.0,2.92,1.0,1.0,17,0.429,0.25,0.032,0.016
LAC,3,5.4,9.613,7.5,2.16,1.0,0.0,20,0.538,0.0,0.015,0.0
LV,1,3.5,7.7,3.7,4.444,1.0,1.0,12,0.111,0.0,0.022,0.133
DET,2,6.0,10.154,7.1,5.163,0.2,0.0,29,0.429,1.0,0.037,0.012
TEN,1,5.0,10.682,6.0,4.2,0.25,1.0,23,0.231,0.5,0.015,0.059
PIT,2,5.4,8.421,5.3,5.533,0.5,0.667,22,0.5,0.0,0.0,0.0
MIA,2,5.0,8.333,5.1,5.571,1.0,0.0,20,0.25,0.0,0.017,0.052
KC,2,4.8,8.7,5.8,3.875,1.0,0.0,16,0.3,0.0,0.018,0.036
MIN,3,5.0,8.68,6.0,4.424,0.5,0.5,23,0.438,1.0,0.027,0.055
ATL,2,5.5,12.381,6.8,3.929,0.5,0.5,18,0.556,0.0,0.03,0.015
SEA,0,3.2,9.462,4.4,1.867,0.0,0.0,6,0.083,0.0,0.043,0.085
BAL,4,6.9,8.346,6.6,7.268,0.5,0.75,29,0.462,0.5,0.027,0.013
ARZ,0,1.2,1.545,0.9,1.952,0.0,0.0,7,0.083,0.0,0.062,0.146
CLE,3,4.6,11.211,7.1,2.825,0.75,1.0,17,0.353,0.5,0.0,0.014
LA,0,3.4,9.154,4.3,2.615,0.0,0.0,10,0.357,0.0,0.036,0.018
GB,2,5.8,10.35,8.0,4.842,0.25,1.0,21,0.5,1.0,0.029,0.059
TB,4,5.3,11.952,8.4,2.613,0.8,1.0,21,0.231,1.0,0.016,0.032
HOU,5,8.0,14.767,10.5,3.118,0.75,0.5,26,0.273,1.0,0.016,0.048
WAS,2,5.6,10.621,6.8,4.276,0.25,0.0,23,0.529,0.0,0.026,0.039
NE,2,5.2,9.167,5.0,5.632,1.0,0.0,18,0.25,0.5,0.016,0.0
CHI,2,5.8,11.778,7.1,4.875,0.5,1.0,20,0.5,1.0,0.078,0.031
NO,3,4.9,8.231,6.1,3.222,0.6,0.75,18,0.5,0.0,0.0,0.0
IND,1,3.5,7.059,4.6,2.6,0.5,0.0,17,0.308,0.0,0.018,0.018
CAR,1,3.9,5.708,3.5,4.929,0.5,1.0,17,0.438,0.667,0.042,0.056
NYG,1,4.5,8.105,5.3,4.92,1.0,0.0,15,0.25,0.2,0.032,0.129
LV,3,5.7,13.062,8.4,3.676,0.75,1.0,15,0.357,0.0,0.0,0.0
DAL,3,5.8,11.483,7.6,3.476,0.6,0.75,27,0.4,0.6,0.014,0.071
PHI,4,4.9,10.765,8.0,3.303,1.0,1.0,20,0.5,1.0,0.0,0.051
BUF,2,5.8,9.577,6.6,4.25,0.667,1.0,21,0.583,0.0,0.036,0.018
CIN,3,5.9,11.065,7.8,2.455,0.667,0.667,23,0.533,0.5,0.0,0.015
LAC,2,3.4,6.688,3.6,4.0,1.0,1.0,14,0.438,0.0,0.0,0.089
NYJ,0,3.5,6.242,4.2,3.2,0.0,0.0,17,0.176,0.75,0.039,0.104
CAR,0,3.7,8.095,4.5,2.688,0.0,0.0,12,0.2,1.0,0.0,0.053
CHI,1,4.2,8.1,4.9,3.595,0.5,1.0,21,0.4,1.0,0.0,0.0
IND,1,4.9,10.778,6.9,2.692,1.0,1.0,14,0.385,1.0,0.019,0.0
NE,0,5.0,9.611,6.4,4.639,0.0,0.0,21,0.429,1.0,0.029,0.074
CLE,2,5.0,9.75,5.6,4.944,0.4,0.5,24,0.5,0.5,0.027,0.053
BAL,3,6.1,15.385,8.7,4.417,0.5,1.0,17,0.25,0.0,0.04,0.06
HOU,3,7.4,15.478,9.1,5.529,0.6,0.75,28,0.308,0.0,0.041,0.014
CIN,3,6.3,11.63,7.9,4.125,0.333,0.5,20,0.429,1.0,0.033,0.067
SF,4,7.3,14.65,10.5,4.8,0.25,0.0,20,0.333,0.5,0.0,0.033
JAC,0,4.1,9.0,5.1,3.471,0.0,0.0,12,0.333,0.0,0.074,0.093
NO,2,4.6,8.269,5.0,4.333,1.0,0.0,16,0.286,1.0,0.033,0.049
MIN,3,5.7,11.435,7.7,3.788,0.667,1.0,23,0.4,0.0,0.0,0.015
GB,2,6.1,13.476,7.1,4.833,0.2,0.0,17,0.5,1.0,0.031,0.015
PIT,2,5.4,8.5,5.2,5.694,0.667,1.0,21,0.308,1.0,0.0,0.017
TEN,0,3.5,8.789,4.3,2.625,0.0,0.0,14,0.4,0.0,0.017,0.068
TB,2,5.6,14.611,9.1,2.655,0.0,0.0,19,0.467,0.0,0.016,0.049
