Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
DET,2,5.3,11.364,7.1,3.471,0.667,0.0,19,0.333,0.333,0.014,0.014
KC,2,5.1,10.762,5.8,3.913,0.667,1.0,17,0.357,0.0,0.016,0.0
CAR,1,3.9,6.35,3.3,4.812,0.5,1.0,20,0.357,0.0,0.042,0.028
ATL,3,4.6,6.067,5.1,5.0,1.0,1.0,13,0.2,0.0,0.0,0.083
HOU,0,3.7,7.0,4.5,3.13,0.0,0.0,18,0.389,0.25,0.014,0.069
BAL,3,4.6,9.118,7.0,3.438,0.6,0.75,18,0.533,0.0,0.034,0.069
CIN,0,2.6,4.786,2.1,3.75,0.0,0.0,6,0.133,0.0,0.0,0.037
CLE,2,4.9,9.0,5.0,5.15,0.667,1.0,21,0.286,0.0,0.028,0.042
JAC,4,5.0,9.875,7.4,3.0,1.0,1.0,20,0.25,0.333,0.029,0.029
IND,2,4.1,8.958,5.5,2.5,0.333,0.5,18,0.167,0.2,0.043,0.058
TB,2,3.6,8.048,5.0,2.212,0.5,1.0,16,0.353,1.0,0.0,0.015
MIN,2,5.9,9.939,7.5,2.412,0.333,0.5,18,0.429,0.0,0.048,0.032
TEN,0,4.8,11.312,5.3,4.727,0.0,0.0,16,0.167,0.0,0.051,0.051
NO,1,5.5,12.261,8.5,2.556,0.25,0.0,15,0.438,0.0,0.031,0.062
SF,3,5.9,10.684,7.0,5.529,0.667,1.0,22,0.462,1.0,0.015,0.045
PIT,1,3.9,6.387,4.3,4.1,0.5,1.0,15,0.333,0.333,0.033,0.082
ARZ,0,3.6,5.429,3.8,3.84,0.0,0.0,13,0.286,0.0,0.034,0.052
WAS,2,3.8,8.211,5.0,3.286,0.4,1.0,21,0.333,0.0,0.046,0.092
GB,4,5.5,15.8,8.8,2.875,1.0,1.0,15,0.562,0.5,0.0,0.017
CHI,2,4.4,7.875,5.1,4.207,0.5,0.5,22,0.231,0.5,0.029,0.057
LV,2,4.7,10.0,7.7,2.103,0.5,0.5,22,0.455,1.0,0.018,0.0
DEN,2,4.5,6.148,4.9,4.273,0.667,0.667,22,0.455,0.0,0.0,0.034
MIA,4,8.2,16.643,10.4,3.5,0.6,0.6,30,0.444,1.0,0.031,0.0
LAC,4,5.7,8.696,6.1,5.825,0.8,1.0,30,0.6,0.0,0.0,0.039
PHI,1,4.1,7.0,4.7,3.88,0.5,0.5,17,0.308,0.0,0.016,0.049
NE,3,4.9,8.743,5.7,3.455,0.6,1.0,24,0.333,0.25,0.026,0.026
LA,3,5.5,13.917,8.8,2.3,1.0,1.0,27,0.647,1.0,0.0,0.0
SEA,1,3.9,5.938,3.7,4.722,0.5,0.0,13,0.222,0.0,0.0,0.043
DAL,3,4.8,11.0,5.7,4.067,0.75,0.667,18,0.462,0.5,0.0,0.0
NYG,0,2.6,3.706,2.1,3.857,0.0,0.0,14,0.312,0.6,0.046,0.108
BUF,1,4.6,7.483,5.3,4.409,0.5,0.0,19,0.385,0.0,0.059,0.074
NYJ,1,5.5,8.357,5.3,6.143,0.333,1.0,13,0.385,1.0,0.019,0.057
MIN,4,6.8,11.161,7.9,3.111,1.0,1.0,19,0.6,1.0,0.073,0.036
PHI,4,5.7,9.5,7.4,5.396,0.75,0.75,24,0.429,1.0,0.013,0.053
KC,2,6.2,10.276,7.3,4.591,0.5,0.333,19,0.308,1.0,0.047,0.016
JAC,0,4.2,8.565,4.7,4.111,0.0,0.0,18,0.25,0.0,0.016,0.062
CHI,2,4.6,10.562,5.8,4.188,1.0,1.0,14,0.462,0.0,0.039,0.118
TB,2,6.4,12.192,9.3,3.529,0.25,0.5,19,0.533,1.0,0.0,0.0
LAC,2,5.3,10.407,6.9,2.905,0.4,0.0,19,0.143,1.0,0.0,0.046
TEN,3,5.4,10.0,8.3,4.147,0.75,1.0,22,0.462,0.0,0.0,0.079
IND,4,6.3,9.08,6.9,5.478,1.0,1.0,19,0.5,0.0,0.0,0.0
HOU,2,4.9,11.233,7.2,2.0,0.25,0.0,24,0.474,1.0,0.013,0.076
SEA,4,5.9,9.719,7.6,3.28,0.8,0.75,28,0.455,1.0,0.0,0.015
DET,4,6.5,11.286,9.0,3.778,1.0,1.0,25,0.545,0.333,0.047,0.031
BAL,3,5.9,9.875,7.2,4.811,0.75,1.0,26,0.643,0.0,0.0,0.0
CIN,2,4.9,8.0,5.3,4.4,0.5,1.0,19,0.667,1.0,0.018,0.018
LV,1,6.2,11.562,7.7,3.667,0.5,0.0,13,0.429,0.0,0.077,0.0
BUF,5,6.1,8.613,7.2,5.229,0.714,0.8,29,0.538,0.75,0.0,0.027
GB,3,4.8,10.0,5.6,4.0,0.667,1.0,17,0.333,0.0,0.0,0.021
ATL,2,5.7,12.368,7.3,4.689,0.4,0.5,27,0.4,0.75,0.013,0.013
