Team Name,Vs,Total Yards,Total Plays,Yards Per Play,Time of Possession,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,GameID
DET,KC,368,70,5.3,32:38,19,11,8,0,5,15,1,3,2,3,0,0,250,22,35,7.1,1,1,3,118,34,3.5,1,4,63,1,1,0,1,1,0,0,0,0,0,3,3,0,0,0,2553545
KC,DET,316,62,5.1,27:22,17,10,6,1,5,14,0,1,2,3,2,2,226,21,39,5.8,2,0,0,90,23,3.9,0,3,25,1,0,1,0,0,0,0,0,2,2,2,2,0,0,0,2553545
CAR,ATL,281,72,3.9,34:41,20,9,9,2,5,14,0,2,1,2,1,1,127,20,38,3.3,1,2,19,154,32,4.8,0,9,66,3,1,2,0,0,0,0,0,1,1,1,1,0,0,0,2553581
ATL,CAR,221,48,4.6,25:19,13,6,7,0,2,10,0,0,3,3,2,2,91,15,18,5.1,1,4,24,130,26,5.0,2,6,43,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,2553581
HOU,BAL,268,72,3.7,29:05,18,13,1,4,7,18,1,4,0,2,0,1,196,28,44,4.5,0,5,46,72,23,3.1,0,9,88,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,2553583
BAL,HOU,265,58,4.6,30:55,18,8,7,3,8,15,0,0,3,5,3,4,155,17,22,7.0,0,4,14,110,32,3.4,3,13,106,2,1,1,0,0,0,0,0,1,1,2,2,0,1,1,2553583
CIN,CLE,142,54,2.6,24:10,6,3,2,1,2,15,0,1,0,0,0,0,67,14,32,2.1,0,2,15,75,20,3.8,0,4,20,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2553584
CLE,CIN,350,72,4.9,35:50,21,9,12,0,4,14,0,0,2,3,1,1,144,16,29,5.0,1,3,10,206,40,5.2,1,5,43,2,1,1,0,0,0,0,0,3,3,1,1,0,1,1,2553584
JAC,IND,342,69,5.0,33:37,20,10,9,1,3,12,1,3,3,3,1,1,237,24,32,7.4,2,2,4,105,35,3.0,2,4,45,2,1,1,0,0,0,0,0,1,1,4,4,0,0,0,2553586
IND,JAC,280,69,4.1,26:23,18,12,4,2,2,12,1,5,1,3,1,2,215,24,39,5.5,1,4,8,65,26,2.5,1,4,35,3,2,1,1,0,1,0,0,0,0,3,3,0,0,0,2553586
TB,MIN,242,68,3.6,30:39,16,9,5,2,6,17,1,1,1,2,1,1,169,21,34,5.0,2,1,4,73,33,2.2,0,3,19,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2553589
MIN,TB,369,63,5.9,29:21,18,15,2,1,6,14,0,0,1,3,1,2,328,33,44,7.5,2,2,16,41,17,2.4,0,6,45,3,2,1,0,0,0,0,0,1,1,2,2,0,0,0,2553589
TEN,NO,285,59,4.8,31:20,16,8,5,3,2,12,0,0,0,3,0,0,181,16,34,5.3,0,3,17,104,22,4.7,0,6,45,3,0,3,0,0,0,0,0,5,5,0,0,0,0,0,2553592
NO,TEN,351,64,5.5,28:40,15,12,2,1,7,16,0,0,1,4,0,1,282,23,33,8.5,1,4,23,69,27,2.6,0,7,45,2,1,1,0,0,0,0,0,3,3,1,1,0,0,0,2553592
SF,PIT,391,66,5.9,37:23,22,13,8,1,6,13,1,1,2,3,1,1,203,19,29,7.0,2,3,17,188,34,5.5,1,11,85,1,1,0,0,0,0,0,0,3,3,3,3,0,0,0,2553595
PIT,SF,239,61,3.9,22:37,15,9,3,3,5,15,1,3,1,2,1,1,198,31,46,4.3,1,5,34,41,10,4.1,0,6,60,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2553595
ARZ,WAS,210,58,3.6,28:36,13,9,4,0,4,14,0,1,0,2,0,0,114,21,30,3.8,0,3,18,96,25,3.8,0,9,122,2,2,0,1,0,1,0,0,3,3,1,1,0,0,0,2553598
WAS,ARZ,248,65,3.8,31:24,21,10,7,4,4,12,0,0,2,5,1,1,156,19,31,5.0,1,6,46,92,28,3.3,1,8,70,3,2,1,0,0,0,0,0,2,2,2,2,0,0,0,2553598
GB,CHI,329,60,5.5,29:17,15,10,5,0,9,16,1,2,3,3,3,3,237,15,27,8.8,3,1,8,92,32,2.9,1,9,90,0,0,0,1,1,0,0,0,1,1,5,5,0,0,0,2553603
CHI,GB,311,70,4.4,30:43,22,12,8,2,3,13,1,2,1,2,1,2,189,24,37,5.1,1,4,27,122,29,4.2,1,7,61,2,1,1,0,0,0,0,0,2,2,0,0,0,1,2,2553603
LV,DEN,261,55,4.7,27:52,22,11,5,6,5,11,1,1,2,4,2,4,200,20,26,7.7,2,0,0,61,29,2.1,0,10,97,1,0,1,0,0,0,0,0,1,1,2,2,0,0,0,2553607
DEN,LV,260,58,4.5,32:08,22,11,5,6,5,11,0,0,2,3,2,3,166,27,34,4.9,2,2,11,94,22,4.3,0,10,83,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,2553607
MIA,LAC,536,65,8.2,27:19,30,23,5,2,4,9,1,1,3,5,3,5,466,28,45,10.4,3,0,0,70,20,3.5,1,6,38,2,1,1,0,0,0,0,0,3,3,3,4,0,0,0,2553610
LAC,MIA,433,76,5.7,32:41,30,10,17,3,9,15,0,1,4,5,4,4,200,23,33,6.1,1,3,29,233,40,5.8,3,6,70,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,2553610
PHI,NE,251,61,4.1,30:48,17,8,6,3,4,13,0,1,1,2,1,2,154,22,33,4.7,1,3,16,97,25,3.9,0,5,49,1,1,0,1,1,0,0,0,4,4,1,2,0,0,0,2553615
NE,PHI,382,78,4.9,29:12,24,18,5,1,5,15,1,4,3,5,1,1,306,35,54,5.7,3,2,10,76,22,3.5,0,7,50,2,1,1,0,0,0,0,0,0,0,2,2,0,0,1,2553615
LA,SEA,426,78,5.5,39:23,27,17,8,2,11,17,1,1,3,3,3,3,334,24,38,8.8,0,0,0,92,40,2.3,3,7,53,0,0,0,0,0,0,0,0,3,5,3,3,0,0,0,2553618
SEA,LA,180,46,3.9,20:37,13,7,3,3,2,9,0,0,1,2,0,0,95,16,26,3.7,1,2,17,85,18,4.7,0,7,55,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,2553618
DAL,NYG,265,55,4.8,26:32,18,8,7,3,6,13,1,2,3,4,2,3,143,13,25,5.7,0,0,0,122,30,4.1,3,5,35,0,0,0,1,1,0,0,0,2,2,4,5,0,0,0,2553622
NYG,DAL,171,65,2.6,33:28,14,5,6,3,5,16,3,5,0,2,0,0,63,17,30,2.1,0,7,47,108,28,3.9,0,6,72,3,1,2,0,0,0,0,0,0,2,0,0,0,0,0,2553622
BUF,NYJ,314,68,4.6,33:08,19,11,8,0,5,13,0,0,1,2,0,0,217,29,41,5.3,1,5,19,97,22,4.4,0,5,40,4,1,3,0,0,0,0,0,3,3,1,1,0,0,0,2553546
NYJ,BUF,289,53,5.5,27:50,13,7,5,1,5,13,1,1,1,3,1,1,117,14,22,5.3,1,3,23,172,28,6.1,0,2,10,1,0,1,1,0,0,0,1,3,3,1,1,0,0,0,2553546
MIN,PHI,374,55,6.8,20:32,19,19,0,0,6,10,1,1,3,3,3,3,346,31,44,7.9,4,2,18,28,9,3.1,0,2,15,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,2553631
PHI,MIN,430,75,5.7,39:28,24,4,19,1,6,14,1,1,3,4,3,4,171,18,23,7.4,1,4,22,259,48,5.4,3,7,45,1,0,1,0,0,0,0,0,2,3,4,4,0,0,0,2553631
KC,JAC,399,64,6.2,31:49,19,12,7,0,4,13,2,2,2,4,1,3,298,29,41,7.3,2,1,7,101,22,4.6,0,12,94,3,2,1,0,0,0,0,0,1,1,2,2,0,0,0,2553656
JAC,KC,271,64,4.2,28:11,18,14,1,3,3,12,0,2,0,3,0,1,197,23,42,4.7,0,4,18,74,18,4.1,0,2,10,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,2553656
