Team Name,Vs,Total Yards,Total Plays,Yards Per Play,Time of Possession,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,GameID
CHI,TB,236,51,4.6,24:04,14,9,5,0,6,13,0,0,1,1,1,1,169,16,29,5.8,1,6,42,67,16,4.2,1,5,28,2,0,2,0,0,0,0,0,1,1,2,2,0,0,0,2553659
TB,CHI,437,68,6.4,35:56,19,10,8,1,8,15,1,1,1,4,1,2,317,26,34,9.3,1,0,0,120,34,3.5,1,7,54,0,0,0,1,1,0,0,0,2,3,3,3,0,0,0,2553659
LAC,TEN,342,65,5.3,28:09,19,14,4,1,2,14,3,3,2,5,0,1,281,27,41,6.9,2,3,24,61,21,2.9,0,4,43,0,0,0,0,0,0,0,0,3,3,1,1,0,1,1,2553663
TEN,LAC,341,63,5.4,36:49,22,9,10,3,6,13,0,1,3,4,2,2,200,20,24,8.3,1,5,46,141,34,4.1,2,7,45,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,2553663
IND,HOU,353,56,6.3,25:02,19,13,6,0,6,12,0,0,4,4,1,1,227,25,33,6.9,1,0,0,126,23,5.5,3,8,42,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,2553651
HOU,IND,389,79,4.9,34:58,24,18,3,3,9,19,2,2,1,4,0,1,337,30,47,7.2,2,6,47,52,26,2.0,0,3,20,1,1,0,0,0,0,0,0,2,3,2,2,0,0,0,2553651
SEA,DET,393,67,5.9,33:31,28,18,7,3,5,11,1,1,4,5,3,4,311,32,41,7.6,2,1,17,82,25,3.3,2,9,80,0,0,0,1,1,0,0,0,1,3,4,4,0,0,0,2553645
DET,SEA,418,64,6.5,30:48,25,17,5,3,6,11,1,3,2,2,2,2,316,28,35,9.0,3,2,7,102,27,3.8,1,4,24,3,2,1,0,0,0,0,0,1,1,4,4,0,0,0,2553645
BAL,CIN,415,70,5.9,33:04,26,12,11,3,9,14,0,0,3,4,2,2,237,24,33,7.2,2,0,0,178,37,4.8,1,6,56,0,0,0,0,0,0,0,0,2,3,3,3,0,0,0,2553642
CIN,BAL,282,57,4.9,26:56,19,13,4,2,10,15,1,1,2,4,2,2,216,27,41,5.3,2,1,6,66,15,4.4,0,5,30,1,0,1,1,0,0,0,1,1,1,3,3,0,0,0,2553642
LV,BUF,240,39,6.2,19:56,13,10,2,1,3,7,0,0,1,2,0,0,185,16,24,7.7,1,0,0,55,15,3.7,0,2,30,3,1,2,0,0,0,0,0,1,1,1,1,0,0,0,2553638
BUF,LV,450,74,6.1,40:04,29,17,10,2,7,13,3,4,5,7,4,5,267,31,37,7.2,3,2,7,183,35,5.2,2,4,30,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,2553638
GB,ATL,224,47,4.8,23:45,17,10,4,3,3,9,0,1,2,3,2,2,140,14,25,5.6,3,1,11,84,21,4.0,0,7,40,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,2553633
ATL,GB,446,78,5.7,36:15,27,10,15,2,6,15,3,4,2,5,1,2,235,19,32,7.3,1,1,2,211,45,4.7,1,6,110,1,0,1,0,0,0,0,0,4,4,1,2,0,0,0,2553633
NYG,ARZ,439,67,6.6,29:23,26,15,10,1,7,12,1,1,4,5,3,3,312,26,37,8.4,2,3,9,127,27,4.7,2,9,75,1,0,1,0,0,0,0,0,1,1,4,4,0,0,0,2553665
ARZ,NYG,379,60,6.3,30:37,24,11,10,3,4,10,0,0,2,3,2,2,228,21,31,7.4,1,0,0,151,29,5.2,2,8,57,0,0,0,0,0,0,0,0,2,3,2,2,0,1,1,2553665
SF,LA,365,54,6.8,26:49,21,11,8,2,2,9,0,0,3,5,1,1,206,17,25,8.2,0,1,0,159,28,5.7,3,6,57,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,2553670
LA,SF,386,78,4.9,33:11,28,17,9,2,7,14,1,2,2,3,1,1,297,34,55,5.4,1,1,10,89,22,4.0,1,6,55,2,0,2,0,0,0,0,0,3,3,2,2,0,0,0,2553670
NYJ,DAL,215,46,4.7,17:45,12,6,4,2,1,10,1,1,0,1,0,0,151,12,27,5.6,1,3,19,64,16,4.0,0,5,29,4,1,3,0,0,0,0,0,1,1,1,1,0,0,0,2553672
DAL,NYJ,382,83,4.6,42:15,26,16,8,2,9,18,0,0,2,6,2,5,248,31,38,6.5,2,1,7,134,44,3.0,0,6,38,0,0,0,0,0,0,0,0,5,5,1,1,0,1,1,2553672
WAS,DEN,388,66,5.9,33:45,26,11,11,4,3,10,1,1,3,3,2,2,266,27,39,6.8,2,4,33,122,23,5.3,2,8,71,0,0,0,0,0,0,0,0,2,4,3,3,0,1,1,2553674
DEN,WAS,399,62,6.4,26:15,21,8,10,3,4,12,2,2,2,4,0,1,277,18,32,8.7,3,7,31,122,23,5.3,1,9,58,2,1,1,0,0,0,0,0,2,2,3,3,0,0,1,2553674
MIA,NE,389,61,6.4,30:19,22,15,6,1,4,10,0,0,2,3,1,2,244,21,30,8.1,1,1,5,145,30,4.8,2,6,46,1,0,1,0,0,0,0,0,1,3,3,3,0,0,0,2553679
NE,MIA,288,71,4.1,29:41,23,10,10,3,7,15,1,2,2,2,1,1,200,31,42,4.8,1,4,31,88,25,3.5,1,5,45,2,1,1,0,0,0,0,0,1,1,2,2,0,0,0,2553679
NO,CAR,341,74,4.6,32:49,23,11,10,2,7,16,0,0,2,4,2,3,207,22,37,5.6,0,4,29,134,33,4.1,2,3,32,1,0,1,0,0,0,0,0,2,2,2,2,0,0,0,2553681
CAR,NO,239,56,4.3,27:11,14,8,4,2,4,14,1,1,1,3,1,1,139,22,33,4.2,1,4,14,100,19,5.3,0,6,35,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,2553681
CLE,PIT,408,81,5.0,35:28,20,12,7,1,5,16,0,2,2,3,2,2,210,22,40,5.3,1,6,25,198,35,5.7,1,8,81,4,3,1,0,0,0,0,0,2,3,0,0,0,2,2,2553684
PIT,CLE,255,53,4.8,24:32,9,6,3,0,4,14,0,0,0,0,0,0,200,15,30,6.7,1,2,22,55,21,2.6,0,5,31,2,1,1,2,1,1,0,0,2,2,2,2,0,0,1,2553684
NYG,SF,150,46,3.3,20:50,10,6,2,2,3,12,0,0,1,1,1,1,121,22,33,3.7,0,2,16,29,11,2.6,1,6,37,1,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2553704
SF,NYG,441,78,5.7,39:10,26,13,9,4,9,16,0,0,2,5,1,2,300,25,37,8.1,2,2,10,141,39,3.6,1,6,71,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,2553704
IND,BAL,327,84,3.9,36:33,19,9,10,0,8,22,0,1,1,2,0,1,188,27,44,4.3,1,5,39,139,35,4.0,0,6,31,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,2553707
BAL,IND,364,72,5.1,32:18,20,7,12,1,6,16,0,1,2,2,0,0,178,22,31,5.7,0,4,24,186,37,5.0,2,1,5,2,2,0,0,0,0,0,0,1,2,2,2,1,0,0,2553707
TEN,CLE,94,45,2.1,21:31,6,5,0,1,2,12,1,1,0,2,0,0,68,13,25,2.7,0,5,36,26,15,1.7,0,8,80,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2553710
CLE,TEN,341,67,5.1,38:29,23,12,7,4,6,13,1,1,2,2,1,1,263,27,33,8.0,2,3,26,78,31,2.5,1,5,46,1,1,0,0,0,0,0,0,2,2,3,3,0,0,0,2553710
ATL,DET,183,65,2.8,27:03,16,9,3,4,4,14,0,1,0,1,0,1,139,21,38,3.7,0,7,62,44,20,2.2,0,4,24,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,2553712
DET,ATL,358,64,5.6,32:57,18,11,5,2,4,14,0,0,1,4,1,2,243,22,33,7.4,1,0,0,115,31,3.7,1,10,119,1,0,1,0,0,0,0,0,2,2,2,2,0,0,0,2553712
NO,GB,252,60,4.2,27:25,15,9,5,1,4,14,1,1,1,2,0,1,175,23,34,5.1,1,4,29,77,22,3.5,0,7,102,0,0,0,1,0,0,0,1,1,2,2,2,0,0,0,2553714
GB,NO,340,71,4.8,32:35,21,13,5,3,8,18,1,3,2,3,1,1,245,22,44,5.6,1,1,14,95,26,3.7,1,11,90,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,2553714
HOU,JAC,366,56,6.5,27:57,15,11,4,0,9,15,0,0,2,5,1,2,280,20,30,9.3,2,0,0,86,26,3.3,1,8,75,0,0,0,1,0,0,1,0,3,3,4,4,0,0,0,2553716
JAC,HOU,404,69,5.9,32:03,22,13,8,1,5,13,0,1,1,2,1,1,288,29,42,6.9,1,0,0,116,27,4.3,1,6,49,2,1,1,0,0,0,0,0,1,3,2,2,0,0,0,2553716
DEN,MIA,363,59,6.2,26:39,16,13,2,1,3,12,0,1,1,4,0,2,294,23,38,7.7,1,1,12,69,20,3.5,0,7,46,3,2,1,1,0,0,1,0,2,2,2,2,0,0,0,2553718
MIA,DEN,726,71,10.2,33:21,30,16,12,2,5,9,1,3,6,6,4,4,376,25,28,13.4,5,0,0,350,43,8.1,5,6,55,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,2553718
LAC,MIN,475,64,7.4,26:47,24,22,2,0,5,11,1,2,2,2,2,2,445,41,48,9.3,4,1,9,30,15,2.0,0,12,94,1,1,0,0,0,0,0,0,0,1,4,4,0,0,0,2553721
MIN,LAC,475,78,6.1,33:13,29,15,7,7,4,14,2,3,1,4,1,4,345,32,50,6.9,3,4,22,130,24,5.4,0,6,45,2,1,1,0,0,0,0,0,1,1,3,3,0,0,0,2553721
NE,NYJ,358,69,5.2,31:52,17,9,8,0,8,19,0,0,0,0,0,0,201,15,29,6.9,1,0,0,157,40,3.9,0,6,43,0,0,0,0,0,0,0,0,2,4,1,1,1,0,0,2553725
NYJ,NE,171,61,2.8,28:08,12,6,5,1,2,14,1,2,1,1,1,1,133,18,36,3.7,0,3,24,38,22,1.7,1,3,15,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2553725
BUF,WAS,386,65,5.9,34:39,20,10,10,0,9,15,0,1,2,4,2,2,218,20,32,6.8,1,0,0,168,33,5.1,2,6,45,1,0,1,1,1,0,0,0,3,3,4,4,0,0,0,2553728
WAS,BUF,230,51,4.5,25:21,15,8,5,2,1,9,0,1,0,2,0,1,125,19,29,4.3,0,9,45,105,13,8.1,0,2,15,5,1,4,0,0,0,0,0,1,1,0,0,0,0,0,2553728
CAR,SEA,378,75,5.0,29:32,23,17,3,3,10,19,0,1,2,2,1,1,334,34,58,5.8,2,3,27,44,14,3.1,1,13,82,0,0,0,0,0,0,0,0,2,3,3,3,0,0,0,2553732
SEA,CAR,425,71,6.0,30:28,27,14,10,3,3,13,1,1,3,6,3,3,279,23,36,7.8,1,2,17,146,33,4.4,2,8,82,1,0,1,0,0,0,0,0,5,5,2,2,0,1,1,2553732
DAL,ARZ,416,75,5.5,34:33,26,11,12,3,9,16,0,1,1,5,0,2,231,25,40,5.8,1,2,18,185,33,5.6,0,13,107,1,0,1,0,0,0,0,0,3,3,1,1,0,0,0,2553735
ARZ,DAL,400,53,7.5,25:27,20,8,8,4,5,10,0,0,2,2,2,2,178,17,21,8.5,1,2,11,222,30,7.4,2,8,69,0,0,0,0,0,0,0,0,3,3,1,1,0,0,2,2553735
CHI,KC,203,51,4.0,23:47,11,5,6,0,4,12,1,2,1,2,0,1,87,11,22,4.0,1,3,12,116,26,4.5,0,6,32,2,1,1,0,0,0,0,0,1,1,1,1,0,0,0,2553739
KC,CHI,456,75,6.1,36:13,31,16,12,3,10,14,0,0,5,5,5,5,303,27,38,8.0,3,0,0,153,37,4.1,2,3,15,2,0,2,0,0,0,0,0,2,2,5,5,0,0,0,2553739
PIT,LV,333,60,5.6,30:03,17,10,5,2,6,15,0,0,1,1,0,0,228,16,28,8.1,2,1,7,105,31,3.4,0,6,45,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2553740
LV,PIT,362,67,5.4,29:57,19,12,4,3,4,13,1,2,1,2,1,1,293,28,44,6.7,2,4,31,69,19,3.6,0,7,60,3,0,3,0,0,0,0,0,1,1,1,1,0,1,1,2553740
PHI,TB,472,78,6.1,38:55,27,13,12,2,10,16,2,3,1,5,1,2,271,23,37,7.3,1,1,6,201,40,5.0,1,3,20,2,0,2,0,0,0,0,0,3,3,2,2,1,0,0,2553743
TB,PHI,174,44,4.0,21:05,12,10,1,1,5,10,0,0,1,2,1,1,133,15,25,5.3,1,2,13,41,17,2.4,0,4,20,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,2553743
LA,CIN,292,52,5.6,24:00,15,12,2,1,1,11,1,1,1,4,1,2,221,18,33,6.7,1,6,48,71,13,5.5,0,4,28,2,0,2,0,0,0,0,0,3,3,1,1,0,0,0,2553746
CIN,LA,309,74,4.2,36:00,19,12,5,2,5,17,1,1,1,1,0,0,242,26,49,4.9,0,2,17,67,23,2.9,1,7,49,1,0,1,0,0,0,0,0,4,5,1,1,0,0,0,2553746
DET,GB,401,73,5.5,37:58,25,11,13,1,7,17,2,2,3,6,3,4,190,19,28,6.8,1,2,20,211,43,4.9,3,8,70,1,0,1,0,0,0,0,0,2,2,4,4,0,0,0,2553751
GB,DET,230,53,4.3,22:02,15,9,2,4,3,11,1,1,2,4,2,2,203,23,36,5.6,1,5,43,27,12,2.3,1,4,31,2,0,2,0,0,0,0,0,2,2,0,0,0,1,2,2553751
ATL,JAC,287,57,5.0,27:09,17,11,6,0,6,12,0,1,1,2,0,0,160,19,31,5.2,1,4,31,127,22,5.8,0,3,50,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,2553527
JAC,ATL,300,64,4.7,32:51,16,11,4,1,5,14,1,2,0,1,0,0,195,23,30,6.5,1,2,12,105,32,3.3,0,3,25,0,0,0,1,1,0,0,0,3,3,2,2,0,0,0,2553527
BAL,CLE,296,55,5.4,29:50,16,8,7,1,4,12,1,1,4,4,2,2,165,15,19,8.7,2,3,21,131,33,4.0,2,8,92,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,2553765
CLE,BAL,166,65,2.6,30:10,13,6,5,2,4,16,1,1,0,2,0,0,73,19,36,2.0,0,4,48,93,25,3.7,0,7,42,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2553765
DEN,CHI,311,48,6.5,26:11,17,9,6,2,6,11,0,0,3,3,1,1,214,21,28,7.6,3,1,9,97,19,5.1,0,7,39,0,0,0,1,0,1,0,0,1,1,4,4,0,0,0,2553763
CHI,DEN,471,70,6.7,33:49,26,17,7,2,6,12,1,3,2,3,2,2,300,28,35,8.6,4,4,35,171,31,5.5,0,10,91,2,1,1,0,0,0,0,0,0,0,4,4,0,0,0,2553763
MIN,CAR,265,44,6.0,21:31,14,9,4,1,1,8,1,2,1,2,0,1,130,12,19,6.8,2,2,9,135,23,5.9,0,7,37,2,0,2,1,0,1,0,0,0,0,3,3,0,0,0,2553761
CAR,MIN,232,68,3.4,38:29,20,11,7,2,5,14,2,3,0,2,0,2,149,25,32,4.7,0,5,55,83,31,2.7,0,6,80,1,1,0,1,1,0,0,0,2,2,1,1,0,0,0,2553761
MIA,BUF,393,58,6.8,29:38,20,12,8,0,3,10,0,3,3,4,2,3,251,25,35,7.2,1,4,31,142,19,7.5,2,8,98,2,1,1,0,0,0,0,0,0,0,2,2,0,0,1,2553755
BUF,MIA,414,56,7.4,30:22,24,14,8,2,5,10,0,0,5,6,2,2,310,21,25,12.4,4,2,10,104,29,3.6,2,4,20,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,2553755
PIT,HOU,225,56,4.0,27:25,12,4,7,1,6,14,0,1,0,2,0,1,111,18,28,4.0,0,3,21,114,25,4.6,0,2,18,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2553768
HOU,PIT,451,69,6.5,32:35,24,14,9,1,6,12,0,1,2,3,2,2,312,17,31,10.1,3,0,0,139,38,3.7,0,8,63,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,2553768
LA,IND,467,78,6.0,39:46,27,16,8,3,6,15,1,1,2,3,2,2,303,27,40,7.6,1,2,16,164,36,4.6,2,8,85,1,0,1,0,0,0,0,0,3,5,2,2,0,0,0,2553770
IND,LA,329,58,5.7,24:25,19,10,6,3,3,10,1,2,2,2,2,2,196,11,25,7.8,2,2,4,133,31,4.3,1,8,80,1,1,0,0,0,0,0,0,0,1,1,1,0,2,2,2553770
CIN,TEN,211,51,4.1,25:15,14,8,5,1,2,9,0,1,0,1,0,1,139,20,30,4.6,0,3,26,72,18,4.0,0,5,40,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2553777
TEN,CIN,400,62,6.5,34:45,23,11,9,3,8,13,1,1,2,4,1,1,227,19,26,8.7,2,3,15,173,33,5.2,1,5,27,1,0,1,0,0,0,0,0,2,2,3,3,0,0,0,2553777
WAS,PHI,365,74,4.9,35:07,26,12,9,5,8,17,2,2,4,5,3,4,258,29,41,6.3,1,5,32,107,28,3.8,2,7,41,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,2553774
PHI,WAS,415,67,6.2,30:55,23,14,6,3,4,12,2,2,1,2,1,1,311,25,37,8.4,2,3,8,104,27,3.9,1,11,81,0,0,0,0,0,0,0,0,4,4,2,2,0,1,1,2553774
TB,NO,353,67,5.3,31:11,21,13,6,2,8,15,0,0,3,4,3,3,239,25,33,7.2,3,1,7,114,33,3.5,0,11,91,1,0,1,0,0,0,0,0,2,2,2,2,0,0,1,2553773
NO,TB,197,61,3.2,28:49,16,9,4,3,5,14,1,2,0,2,0,0,127,24,39,3.3,0,3,13,70,19,3.7,0,7,58,3,2,1,0,0,0,0,0,3,3,0,0,0,0,0,2553773
LV,LAC,264,69,3.8,32:51,22,12,7,3,1,11,3,3,2,5,2,4,188,24,39,4.8,0,7,50,76,23,3.3,2,9,80,3,2,1,0,0,0,0,0,1,1,2,2,0,0,0,2553779
LAC,LV,305,63,4.8,27:09,16,6,7,3,5,14,1,2,3,4,1,2,150,13,24,6.3,1,2,17,155,37,4.2,2,4,34,1,0,1,0,0,0,0,0,1,1,3,3,0,0,0,2553779
ARZ,SF,362,67,5.4,30:46,23,13,7,3,8,15,2,3,2,3,1,1,257,28,41,6.3,2,1,8,105,25,4.2,0,9,55,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2553784
SF,ARZ,395,53,7.5,29:14,30,17,10,3,3,5,1,1,5,5,4,4,271,20,21,12.9,1,1,12,124,31,4.0,4,4,21,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,2553784
