Team Name,Vs,Total Yards,Total Plays,Yards Per Play,Time of Possession,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,GameID
WAS,TB,350,69,5.1,35:26,22,14,5,3,8,15,3,5,2,5,1,3,268,24,35,7.7,2,1,0,82,33,2.5,0,5,39,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2656901
TB,WAS,284,44,6.5,24:34,19,12,4,3,5,9,0,0,2,3,2,2,183,15,18,10.2,2,1,2,101,25,4.0,0,7,65,1,1,0,0,0,0,0,0,2,2,2,2,0,0,0,2656901
MIN,LA,269,71,3.8,32:18,20,11,5,4,6,17,1,4,0,1,0,0,163,25,40,4.1,1,9,82,106,22,4.8,0,2,20,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2656904
LA,MIN,292,51,5.7,27:42,16,10,4,2,2,10,0,0,2,4,1,1,202,19,27,7.5,2,2,7,90,22,4.1,0,10,95,0,0,0,1,0,1,0,0,2,2,3,3,0,0,0,2656904
HOU,KC,336,65,5.2,33:26,18,12,6,0,10,17,0,1,1,3,0,0,187,19,28,6.7,0,8,58,149,29,5.1,1,8,82,0,0,0,0,0,0,0,0,2,4,0,1,1,0,0,2656911
KC,HOU,212,50,4.2,26:34,14,7,5,2,4,11,1,2,2,5,2,3,162,16,25,6.5,1,3,15,50,22,2.3,1,4,29,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2656911
WAS,DET,481,73,6.6,33:59,27,12,12,3,4,12,3,4,4,4,4,4,299,22,31,9.6,2,0,0,182,42,4.3,3,4,25,0,0,0,1,1,0,0,0,1,2,6,6,0,0,0,2656913
DET,WAS,521,68,7.7,26:01,30,19,10,1,3,9,2,2,3,6,3,3,320,25,43,7.4,1,2,16,201,23,8.7,3,5,30,5,1,4,0,0,0,0,0,1,1,4,4,0,0,0,2656913
LA,PHI,402,70,5.7,29:06,18,15,3,0,6,16,1,2,2,5,2,3,291,26,44,6.6,2,5,33,111,21,5.3,0,3,30,2,2,0,0,0,0,0,0,2,2,2,2,1,0,0,2656918
PHI,LA,350,61,5.7,30:54,16,6,9,1,6,15,1,1,0,2,0,1,65,15,20,3.3,0,7,63,285,34,8.4,3,3,14,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,2656918
BAL,BUF,416,57,7.3,28:16,23,10,13,0,7,10,1,1,2,3,1,2,240,18,25,9.6,2,2,14,176,30,5.9,1,5,43,3,2,1,0,0,0,0,0,2,2,1,1,0,0,2,2656916
BUF,BAL,273,59,4.6,31:44,20,6,12,2,5,11,1,1,3,4,2,3,126,16,22,5.7,0,1,1,147,36,4.1,3,1,10,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,2656916
WAS,PHI,350,77,4.5,29:29,22,18,4,0,7,17,4,6,1,2,0,0,251,30,49,5.1,1,3,27,99,25,4.0,1,9,47,4,3,1,0,0,0,0,0,3,3,0,0,0,1,2,2656920
PHI,WAS,459,66,7.0,30:31,28,12,13,3,5,10,1,1,7,7,7,7,230,20,28,8.2,1,2,16,229,36,6.4,7,5,30,0,0,0,0,0,0,0,0,0,1,7,7,0,0,1,2656920
BUF,KC,374,68,5.5,30:32,22,9,10,3,5,14,4,6,3,3,3,3,227,22,34,6.7,2,2,10,147,32,4.6,2,6,48,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,2656919
KC,BUF,368,63,5.8,29:28,28,14,10,4,5,9,1,1,4,6,2,3,233,18,26,9.0,1,2,12,135,35,3.9,3,5,21,1,1,0,0,0,0,0,0,1,1,3,3,0,1,1,2656919
KC,PHI,275,49,5.6,23:02,12,11,1,0,3,11,0,1,1,1,0,0,226,21,32,7.1,3,6,31,49,11,4.5,0,7,75,3,1,2,0,0,0,0,0,0,0,0,0,0,2,3,2656921
PHI,KC,345,70,4.9,36:58,21,11,7,3,3,12,0,1,2,3,1,2,210,17,23,9.1,2,2,11,135,45,3.0,1,8,59,1,0,1,1,1,0,0,0,4,4,4,4,0,0,0,2656921
