Team Name,Total Yards,Total Plays,Yards Per Play,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,Games Played
ARZ,6047,1060,5.7,369,198,141,30,97,205,7,15,43,71,25,31,3613,347,506,7.1,32,33,233,2434,521,4.7,19,92,765,17,6,11,3,3,0,0,0,26,31,51,52,0,1,2,17
ATL,5458,1090,5.0,320,183,105,32,77,228,11,23,24,53,17,27,3449,340,549,6.3,24,42,258,2009,499,4.0,11,104,831,16,8,8,1,1,0,0,0,39,41,34,34,2,1,2,17
BAL,5655,1229,4.6,338,195,102,41,103,280,14,35,22,52,16,27,3668,433,706,5.2,19,62,465,1987,461,4.3,7,120,941,31,13,18,3,1,0,0,2,34,38,21,22,3,2,7,17
BUF,5907,1125,5.3,356,209,109,38,89,231,10,20,31,56,21,31,3775,402,614,6.1,22,55,345,2132,456,4.7,15,107,818,33,14,19,2,0,0,1,1,29,31,30,31,0,2,6,17
CAR,4997,1016,4.9,311,162,122,27,84,221,7,10,36,57,29,33,2916,309,481,6.1,19,27,193,2081,508,4.1,25,89,679,11,3,8,5,3,2,0,0,25,26,45,47,0,1,2,17
CHI,5511,1035,5.3,307,196,88,23,98,222,10,23,31,45,20,23,4043,410,617,6.6,31,30,202,1468,388,3.8,8,72,530,28,6,22,5,2,2,0,1,24,33,37,39,1,2,5,17
CIN,6368,1055,6.0,351,201,127,23,87,213,7,15,31,60,23,30,4223,364,555,7.6,23,44,257,2145,456,4.7,17,92,784,26,9,17,1,1,0,0,0,32,35,36,38,0,3,3,17
CLE,4949,1048,4.7,267,146,90,31,69,238,6,15,32,45,22,25,3080,324,557,5.5,26,49,349,1869,442,4.2,16,121,943,28,10,18,8,6,1,1,0,18,25,47,47,2,1,3,17
DAL,5510,1068,5.2,333,177,118,38,85,221,20,38,31,52,21,26,3457,324,530,6.5,24,46,296,2053,492,4.2,17,111,1000,26,9,17,2,1,1,0,0,22,26,37,38,0,1,5,17
DEN,6303,1083,5.8,349,201,119,29,67,202,16,34,34,59,20,29,3972,382,572,6.9,29,42,330,2331,469,5.0,15,99,965,26,15,11,2,0,2,0,0,30,35,41,42,1,2,4,17
DET,6960,1218,5.7,407,254,110,43,88,235,17,29,42,64,28,36,5139,442,696,7.4,34,49,406,1821,473,3.8,18,103,877,26,7,19,3,2,1,0,0,32,38,47,49,0,1,5,17
GB,6562,1214,5.4,396,226,135,35,112,256,14,32,34,63,22,30,4147,406,622,6.7,25,50,311,2415,542,4.5,18,107,1038,20,11,9,1,0,0,0,1,33,41,31,36,0,6,8,17
HOU,6298,1216,5.2,372,209,126,37,92,254,18,35,34,61,24,32,4370,432,633,6.9,20,53,423,1928,530,3.6,22,107,852,26,10,16,1,1,0,0,0,32,38,33,35,1,6,8,17
IND,5947,1137,5.2,346,192,123,31,89,240,17,26,29,52,20,28,3842,370,568,6.8,21,51,315,2105,518,4.1,22,100,843,24,9,15,1,0,1,0,0,36,41,39,42,1,0,1,17
JAC,5828,1078,5.4,314,198,99,17,84,230,21,41,29,52,20,30,4076,404,617,6.6,27,40,279,1752,421,4.2,15,108,961,27,11,16,2,0,1,1,0,21,26,42,42,0,1,2,17
KC,6276,1310,4.8,379,215,136,28,97,273,21,40,29,57,14,21,3902,430,710,5.5,24,64,383,2374,536,4.4,12,100,829,23,13,10,3,2,1,0,0,27,32,34,35,1,3,4,17
LV,5625,1089,5.2,330,187,117,26,94,227,14,26,30,48,19,29,3610,376,564,6.4,21,46,290,2015,479,4.2,15,96,861,22,9,13,1,1,0,0,0,25,30,34,36,0,0,1,17
LAC,6170,1113,5.5,344,203,110,31,89,232,19,32,27,51,20,32,4246,389,598,7.1,26,48,334,1924,467,4.1,18,104,801,21,12,9,3,1,2,0,0,24,27,44,46,0,0,1,17
LA,6078,1133,5.4,352,209,114,29,91,237,17,31,29,51,17,22,4183,389,631,6.6,25,44,289,1895,458,4.1,16,110,1020,15,5,10,3,1,0,0,2,31,39,32,36,1,5,7,17
MIA,5820,1132,5.1,346,200,117,29,90,231,15,31,37,60,25,35,4023,403,609,6.6,28,56,371,1797,467,3.8,16,101,764,28,13,15,6,3,1,1,1,22,25,47,48,0,2,2,17
MIN,5664,1095,5.2,328,208,104,16,96,232,18,25,27,50,21,27,3986,426,606,6.6,23,43,302,1678,446,3.8,14,111,916,22,11,11,1,1,0,0,0,32,36,32,35,1,2,3,17
NE,5127,1091,4.7,305,181,100,24,86,237,10,19,24,52,19,29,3543,370,575,6.2,19,36,248,1584,480,3.3,14,75,544,18,8,10,5,4,1,0,0,31,38,31,32,1,6,6,17
NO,5562,1054,5.3,300,167,100,33,78,226,11,26,24,47,13,18,3524,333,558,6.3,22,34,244,2038,462,4.4,10,102,775,29,11,18,2,2,0,0,0,30,35,29,29,0,2,5,17
NYG,6149,1091,5.6,352,191,134,27,80,216,10,19,36,59,25,33,3898,371,582,6.7,21,34,259,2251,475,4.7,24,99,822,31,13,18,2,2,0,0,0,25,32,42,46,0,1,2,17
NYJ,4969,1087,4.6,298,150,111,37,90,242,7,16,24,49,17,24,2861,313,522,5.5,19,48,321,2108,517,4.1,14,93,780,27,10,17,3,2,0,0,1,34,39,31,34,1,2,2,17
PHI,6480,1174,5.5,387,235,120,32,114,247,20,36,39,60,25,31,4603,447,688,6.7,38,47,285,1877,439,4.3,13,112,835,18,9,9,2,2,0,0,0,26,29,48,48,1,4,6,17
PIT,6184,1140,5.4,335,197,106,32,96,245,9,19,25,53,12,19,4049,369,603,6.7,26,49,318,2135,488,4.4,10,92,765,27,11,16,0,0,0,0,0,33,40,28,30,0,6,6,17
SF,6394,1251,5.1,391,231,124,36,110,259,16,33,31,59,21,32,4421,490,742,6.0,25,53,328,1973,456,4.3,13,103,837,33,8,25,1,1,0,0,0,36,41,29,31,0,2,7,17
SEA,6313,1147,5.5,380,202,143,35,107,231,13,26,34,56,27,36,3961,390,585,6.8,21,47,298,2352,515,4.6,24,103,824,19,8,11,0,0,0,0,0,29,35,43,44,0,1,1,17
TB,6519,1205,5.4,376,240,109,27,98,248,13,28,27,60,20,33,4743,459,689,6.9,26,53,362,1776,463,3.8,13,102,833,26,13,13,0,0,0,0,0,31,38,30,30,1,3,9,17
TEN,5697,1096,5.2,334,189,103,42,89,231,12,21,23,61,12,28,3866,387,571,6.8,20,45,315,1831,480,3.8,10,98,776,14,8,6,2,1,1,0,0,46,47,29,30,0,1,2,17
WAS,6612,1117,5.9,364,218,121,25,94,226,13,21,34,60,23,35,4457,396,598,7.5,39,39,170,2155,480,4.5,15,99,828,18,10,8,5,4,1,0,0,35,39,53,54,0,3,5,17
