Team Name,Total Yards,Total Plays,Yards Per Play,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,Games Played
ARZ,5509,1068,5.2,330,173,127,30,88,225,15,34,27,43,20,24,3144,355,555,5.7,18,42,286,2365,471,5.0,17,101,859,18,6,12,1,0,1,0,0,28,33,22,23,0,4,13,17
ATL,5683,1092,5.2,326,181,121,24,90,225,8,19,22,47,13,27,3524,327,530,6.6,17,40,251,2159,522,4.1,14,84,743,28,11,17,1,1,0,0,0,32,37,27,28,1,2,4,17
BAL,6984,1200,5.8,397,201,161,35,94,230,12,18,46,74,29,37,4013,364,553,7.3,30,48,292,2971,599,5.0,28,113,1065,22,14,8,2,1,0,0,1,35,40,56,57,1,2,2,17
BUF,7102,1259,5.6,432,222,183,27,121,245,12,20,46,72,29,36,4529,432,648,7.0,33,26,166,2573,585,4.4,25,113,935,28,10,18,3,2,0,0,1,26,34,56,57,0,3,4,17
CAR,4510,1096,4.1,297,150,111,36,85,249,23,48,18,36,13,20,2741,350,586,4.7,13,65,504,1769,445,4.0,7,103,845,20,10,10,3,2,0,0,1,25,30,17,20,0,3,3,17
CHI,5495,1097,5.0,322,169,137,16,98,238,13,26,28,49,22,27,3096,321,513,6.0,19,50,325,2399,534,4.5,16,99,853,25,10,15,2,2,0,0,0,35,38,31,33,0,1,4,17
CIN,5422,1048,5.2,329,208,90,31,82,218,9,20,31,52,25,31,3895,420,615,6.3,27,50,362,1527,383,4.0,12,76,614,16,2,14,2,1,0,0,1,26,31,40,40,0,1,1,17
CLE,6034,1257,4.8,343,187,125,31,87,268,18,36,30,52,20,24,3961,389,670,5.9,25,49,357,2073,538,3.9,16,119,929,39,14,25,3,2,1,0,0,34,37,32,35,0,6,9,17
DAL,6827,1211,5.6,422,254,121,47,121,246,13,25,44,76,28,42,4784,469,674,7.1,39,44,279,2043,493,4.1,15,121,1012,18,6,12,6,5,1,0,0,37,39,50,54,1,6,7,17
DEN,5072,1016,5.0,301,154,116,31,81,220,13,20,30,59,16,30,3262,337,513,6.4,28,52,304,1810,451,4.0,8,99,749,22,13,9,2,0,1,1,0,30,34,29,31,1,4,7,17
