Team Name,Total Yards,Total Plays,Yards Per Play,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,Games Played
DET,7879,1335,5.9,452,278,146,28,108,259,24,45,50,75,32,42,5193,485,717,7.2,34,38,250,2686,580,4.6,34,107,909,24,12,12,1,1,0,0,0,22,24,59,63,1,3,6,17
GB,6618,1168,5.7,380,232,118,30,118,246,13,26,39,73,21,23,4434,411,636,7.0,37,30,242,2184,502,4.4,13,113,927,20,7,13,3,2,1,0,0,29,36,41,47,0,3,6,17
HOU,6389,1174,5.4,353,233,88,32,94,252,8,22,31,56,21,30,4628,408,647,7.2,30,47,405,1761,480,3.7,11,128,1027,14,6,8,6,2,1,2,1,36,41,38,40,0,2,7,17
IND,5725,1094,5.2,324,178,113,33,82,232,16,32,28,57,17,26,3666,355,574,6.4,18,41,216,2059,479,4.3,19,95,685,22,12,10,4,3,1,0,0,33,41,35,36,1,4,5,17
JAC,5772,1114,5.2,336,199,98,39,87,228,13,29,26,52,18,26,4126,412,620,6.7,22,41,251,1646,453,3.6,17,83,644,30,16,14,2,2,0,0,0,30,37,35,35,0,3,6,17
KC,7516,1354,5.6,442,269,136,37,120,277,13,24,41,80,31,46,5220,525,784,6.7,34,33,214,2296,537,4.3,12,112,990,32,14,18,2,0,2,0,0,44,46,46,46,0,0,1,17
LV,4922,1010,4.9,292,182,83,27,77,216,14,23,23,47,15,23,3380,348,557,6.1,20,40,286,1542,413,3.7,11,75,629,24,6,18,5,3,2,0,0,26,30,32,32,1,2,4,17
LAC,5599,1106,5.1,319,204,89,26,91,237,15,32,27,47,16,25,3957,409,632,6.3,24,43,355,1642,431,3.8,11,79,725,21,13,8,1,0,0,0,1,31,33,35,35,0,1,1,17
LA,6533,1149,5.7,373,221,114,38,98,235,14,22,35,58,27,35,4420,386,619,7.1,28,36,247,2113,494,4.3,18,93,756,18,5,13,0,0,0,0,0,35,46,34,39,2,4,6,17
MIA,7086,1112,6.4,373,231,118,24,86,214,14,31,38,58,29,41,4702,413,605,7.8,31,33,195,2384,474,5.0,27,105,829,26,10,16,4,4,0,0,0,24,28,59,60,0,0,2,17
MIN,5912,1071,5.5,340,220,79,41,85,223,17,29,24,51,16,27,4359,424,631,6.9,30,47,341,1553,393,4.0,7,89,670,34,15,19,2,0,2,0,0,24,30,36,38,0,1,1,17
NE,4696,1020,4.6,261,153,93,15,67,222,9,25,21,36,10,12,3069,351,557,5.5,16,48,323,1627,415,3.9,9,89,676,29,8,21,2,0,1,1,0,16,25,24,25,1,0,2,17
NO,5732,1121,5.1,337,199,112,26,91,235,9,19,32,60,21,29,3990,406,606,6.6,28,35,235,1742,480,3.6,13,96,846,18,7,11,3,1,1,0,1,30,37,40,40,0,4,4,17
NYG,4760,1057,4.5,267,141,97,29,75,248,18,37,19,43,13,20,2886,338,518,5.6,15,85,465,1874,454,4.1,10,89,711,19,7,12,4,3,0,0,1,22,31,24,25,0,1,4,17
NYJ,4566,1053,4.3,260,156,77,27,61,235,17,29,12,37,10,20,2919,356,601,4.9,11,64,454,1647,388,4.2,7,124,945,33,18,15,4,2,1,0,1,36,39,16,17,3,3,4,17
PHI,6300,1165,5.4,390,206,152,32,108,234,19,28,37,62,26,36,4068,394,598,6.8,25,42,249,2232,525,4.3,22,101,839,28,12,16,3,2,1,0,0,31,33,45,46,1,1,3,17
PIT,5497,1092,5.0,309,167,121,21,90,243,9,20,22,45,17,26,3381,345,545,6.2,15,37,269,2116,510,4.1,16,92,803,18,8,10,2,1,1,0,0,30,32,29,30,1,1,3,17
SF,7924,1225,6.5,448,246,170,32,104,219,8,15,51,75,33,39,5159,403,600,8.6,37,38,213,2765,587,4.7,32,116,1076,21,8,13,1,1,0,0,0,27,33,68,70,1,0,0,17
SEA,5490,995,5.5,317,189,93,35,75,207,6,16,26,54,18,27,3910,371,575,6.8,23,38,257,1580,382,4.1,11,111,954,17,5,12,3,3,0,0,0,35,42,33,33,0,2,3,17
TB,6155,1176,5.2,346,219,92,35,108,262,14,21,25,52,19,26,4438,412,645,6.9,34,48,292,1717,483,3.6,8,110,809,20,8,12,1,1,0,0,0,33,36,38,38,2,2,5,17
TEN,4913,1002,4.9,298,158,103,37,71,212,11,20,23,48,14,22,3067,304,494,6.2,14,64,445,1846,444,4.2,16,110,882,20,9,11,1,1,0,0,0,29,30,28,30,0,1,1,17
WAS,5317,1060,5.0,321,190,99,32,77,216,16,29,31,49,19,23,3725,407,636,5.9,24,65,449,1592,359,4.4,14,87,701,32,11,21,0,0,0,0,0,19,24,32,35,0,3,4,17
